0,Corner Garage,179.99,2569,6.0
1,Ford Mustang,169.99,1471,NaN
2,NASA Apollo 11 Lunar Lander,99.99,1087,2.0
3,Gingerbread House,89.99,1477,2.0
4,Harley-Davidson Fat Boy,89.99,1023,NaN
5,Woody & RC,9.74,69,1.0
6,Duke Caboom's Stunt Show,19.49,120,2.0
7,Buzz and Bo Peep's Playground Adventure,24.36,139,3.0
8,RV Vacation,34.11,178,3.0
9,Buzz & Woody's Carnival Mania!,49.99,230,5.0
10,Carnival Thrill Coaster,19.49,98,2.0
11,My First Tow Truck,9.74,11,NaN
12,My First Balancing Animals,14.61,15,NaN
13,My First Fun Puzzle,19.49,15,NaN
14,My First Car Creations,19.99,34,NaN
15,Creative Fun,34.99,120,1.0
16,Mickey's Vacation House,48.73,57,3.0
17,Spider-Man vs. Electro,19.99,29,2.0
18,Toy Story Train,19.99,21,2.0
19,Emmet and Lucy's Visitors from the DUPLO Planet,29.99,53,2.0
20,My First Minnie Build,9.99,10,NaN
21,My First Mickey Build,9.74,9,NaN
22,Frozen Ice Castle,49.99,59,3.0
23,Police Bike,9.99,8,1.0
24,Fire Truck,19.99,21,2.0
0,Police Station,29.99,38,3.0
1,Fire Station,49.99,76,2.0
2,Baby Animals,9.74,9,NaN
3,Tropical Island,59.99,73,3.0
4,World Animals,99.99,121,6.0
5,Plane,9.99,12,1.0
6,Submarine Adventure,19.99,24,2.0
7,Bricks and Ideas,9.99,123,NaN
8,Basic Brick Set,19.99,300,NaN
9,Bricks and Eyes,29.23,451,NaN
10,Windows of Creativity,29.23,450,NaN
11,Creative Fun,34.11,900,NaN
12,Star Wars: Build Your Own Adventure Galactic Missions parts,NaN,66,1.0
13,The Book of Bedtime Builds parts,NaN,68,NaN
14,Harry Potter: Build Your Own Adventure parts,NaN,101,1.0
15,Christmas Ideas parts,NaN,41,NaN
16,Wooden Minifigure parts,NaN,29,NaN
17,San Francisco,49.99,565,NaN
18,Paris,49.99,649,NaN
19,Trafalgar Square,79.99,1197,NaN
20,Empire State Building,99.99,1767,NaN
21,Burj Khalifa,39.99,333,NaN
22,Minecraft Steve BigFig with Parrot,14.99,159,NaN
23,Minecraft Alex BigFig with Chicken,14.99,160,NaN
24,Minecraft Skeleton BigFig with Magma Cube,14.99,142,NaN
0,The End Battle,19.99,222.0,2.0
1,The Pirate Ship Adventure,49.99,386.0,3.0
2,The Wool Farm,19.99,260.0,1.0
3,The Blaze Bridge,39.99,372.0,4.0
4,The Creeper Mine,79.99,834.0,4.0
5,The Flintstones,58.48,748.0,4.0
6,Steamboat Willie,87.72,751.0,2.0
7,Tree House,249.99,3036.0,4.0
8,Central Perk,79.99,1070.0,7.0
9,Dinosaur Fossils,59.99,910.0,2.0
10,My First Duck,NaN,6.0,NaN
11,Town Rescue - {Random Bag},NaN,NaN,NaN
12,Town Rescue - Bird,NaN,NaN,NaN
13,Town Rescue - Fireman,NaN,NaN,NaN
14,Town Rescue - Cat,NaN,NaN,NaN
15,Town Rescue - Policewoman,NaN,NaN,NaN
16,Town Rescue - Dog,NaN,NaN,NaN
17,Emmet's 'Piece' Offering,3.99,44.0,1.0
18,Fire ATV,NaN,39.0,1.0
19,Sky Police Jetpack,NaN,33.0,2.0
20,Race Boat,3.99,34.0,1.0
21,Popcorn Cart,NaN,43.0,1.0
22,Space Satellite,NaN,36.0,1.0
23,Naboo Starfighter,NaN,48.0,NaN
24,Snowspeeder,NaN,49.0,NaN
0,Minecraft Steve and Creeper Set,NaN,36,2.0
1,Tulips,NaN,90,NaN
2,Emma's Bumper Cars,3.99,66,1.0
3,Mia's Water Fun,NaN,28,1.0
4,Spider-Man's Mini Spider Crawler,NaN,73,1.0
5,Iron Man and Dum-E,NaN,38,1.0
6,Rex's Plantimal Ambush,3.89,32,1.0
7,Podracer,NaN,58,NaN
8,Lucy vs. Alien Invader,NaN,44,1.0
9,Mini Master-Building MetalBeard,NaN,42,1.0
10,Mini Master-Building Emmet,3.89,49,1.0
11,Sam-X,NaN,56,NaN
12,Ninja Workout,NaN,31,1.0
13,Fire Flight,NaN,54,1.0
14,Fish Free Builds - Make It Yours,NaN,39,NaN
15,Elsa's Winter Throne,3.99,42,1.0
16,Pelican,3.89,62,NaN
17,Race Car,3.99,68,NaN
18,Santa,NaN,67,NaN
19,Star-Stuck Emmet,NaN,41,1.0
20,SHAZAM!,NaN,5,1.0
21,Obi-Wan Kenobi - Collectable Minifigure,NaN,12,1.0
22,Futuristic Flyer,14.61,157,NaN
23,Dune Buggy,12.66,147,NaN
24,Deep Sea Creatures,14.99,230,NaN
0,Sunset Track Racer,19.99,221,NaN
1,Underwater Robot,19.99,207,NaN
2,Shuttle Transporter,24.36,341,NaN
3,Helicopter Adventure,9.74,114,NaN
4,Riverside Houseboat,29.99,396,2.0
5,Race Plane,29.23,333,1.0
6,Fairground Carousel,48.73,595,3.0
7,Twin-Rotor Helicopter,48.73,569,1.0
8,Townhouse Pet Shop & Café,79.99,969,3.0
9,Outback Cabin,29.23,305,2.0
10,Year of the Pig,NaN,152,NaN
11,MSC Cruises,NaN,181,NaN
12,Jet Fighter,NaN,23,NaN
13,Caterpillar,NaN,48,NaN
14,Viking Ship,NaN,54,NaN
15,Ladybird,NaN,27,NaN
16,Crane,NaN,64,NaN
17,Frog,NaN,39,NaN
18,Ice Cream Truck,NaN,48,NaN
19,Racing Car,NaN,50,NaN
20,Eagle,NaN,56,NaN
21,UFO,NaN,36,NaN
22,Wolf,NaN,47,NaN
23,Penguin,NaN,47,NaN
24,Battle of Hoth - 20th Anniversary Edition,NaN,195,NaN
